fahrzeugId,zielort
2,3
3,3
8,27
10,65
11,3
21,10
30,27
31,3
39,3
46,3
47,3
54,3
66,3
67,3
80,3
82,27
83,10
84,3
90,10
95,1
102,27
107,65
119,43
122,3
134,3
141,3
143,3
144,27
145,10
147,3
148,3
149,3
167,3
195,3
198,27
207,11
209,3
214,4
235,4
236,3
247,27
277,3
300,27
315,3
332,3
339,27
354,11
356,27
377,27
389,3
395,112
398,4
399,3
404,27
421,112
426,3
428,3
429,3
444,27
466,3
467,11
474,3
482,112
489,3
500,3
520,3
525,3
531,3
532,3
539,3
541,3
543,27
546,3
548,3
555,3
558,3
582,3
564,3
565,3
579,3
589,44
590,3
597,3
608,112
609,3
614,112
617,3
619,3
624,27
628,3
639,3
640,27
641,112
648,3
652,3
653,3
661,22
666,3
667,3
668,27
669,145
673,27
28008,778
688,3
689,148
714,3
722,3
727,153
732,10
729,27
733,3
743,3
747,27
754,3
756,3
795,112
804,3
822,112
824,148
829,27
832,27
836,160
838,27
851,3
872,27
894,3
903,112
904,148
911,112
915,27
28000,10
937,4
953,27
955,3
977,4
991,3
1004,27
1011,148
1012,27
1013,179
1030,3
1034,27
1169,148
1057,3
1062,10
28076,112
1073,10
1082,27
1087,3
1093,3
1094,3
1102,27
1106,10
1115,3
1121,11
1127,27
1136,27
1174,3
1181,27
1184,27
1187,3
1188,11
1189,3
1209,27
1235,3
1242,3
1248,3
1258,3
1279,27
1280,3
1288,27
1295,148
1300,10
1301,3
1304,3
1313,179
1317,12
1329,3
1348,3
1353,27
1356,3
1358,27
1362,3
1365,79
1368,3
1375,10
1386,27
1398,3
1408,27
1430,27
1438,3
1439,3
1441,3
1444,148
1454,3
1467,3
1469,3
1475,3
1507,3
1508,222
1510,11
1517,10
1519,3
1525,3
1534,3
1537,27
1550,10
1554,27
1555,3
1556,27
1578,3
1582,27
1603,27
1606,3
1616,3
1620,27
1626,3
1629,11
1631,3
1639,3
1645,27
1647,10
1648,10
1651,10
1652,3
1656,3
1671,27
1673,3
1677,3
1682,3
1685,3
1686,27
1689,3
1693,27
1695,3
1699,148
1703,3
1708,27
1709,27
1722,10
1725,145
1731,3
1732,3
1747,3
1749,3
1752,27
1766,10
1769,1
1771,3
1778,3
1786,27
1788,44
1807,27
316,112
1826,27
1829,148
1836,89
1840,112
1847,27
1864,27
1867,27
1919,3
1936,3
1955,3
1976,3
1997,3
2000,27
2001,10
2012,27
2027,27
2030,3
2036,3
2061,27
2062,27
2070,27
2072,234
2092,27
2094,3
2095,17
2101,17
2102,13
2103,3
2111,27
2119,10
2121,3
2125,196
2144,27
2161,12
2173,145
2204,27
2209,27
2217,3
2218,3
2231,179
2242,3
2243,3
2244,3
2265,3
2270,3
2276,3
2286,148
2295,148
2294,148
2335,3
2341,3
2345,3
2348,3
2349,3
2350,3
2351,112
2355,3
2361,3
2369,3
2373,3
2376,3
2379,3
2381,3
2392,3
2393,3
2396,3
2397,3
2408,25
2410,3
2425,27
2428,3
2436,3
2444,3
2450,3
2451,27
2522,1371
2549,27
2601,3
2609,27
2610,3
2612,112
2613,3
2614,3
2616,3
2618,3
2626,27
2629,3
2634,112
2637,3
2638,3
2639,112
2658,3
2660,3
2665,27
2668,3
2679,3
2681,3
2682,3
2684,3
35363,3
2687,3
2691,3
2692,27
2694,3
2696,112
2705,112
2706,3
2707,148
